date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:26	954/954	---M--	404	error ('Not%20Found')	text/html	etag:%22b620e7a-3ba-430a8121752c0%22	http://www.4sam.org/robots.txt		(from )
12:06:26	7057/7057	---M--	200	added ('OK')	text/html	etag:%22b620e8e-1b91-4bdd2e153f400%22	http://www.4sam.org/	www.4sam.org/index.html	(from )
12:06:26	4847/4847	---M--	200	added ('OK')	text/css	etag:%22b620e97-12ef-43930d181c9c0%22	http://www.4sam.org/css/sam.css	www.4sam.org/css/sam.css	(from http://www.4sam.org/)
12:06:27	7057/7057	---M--	200	added ('OK')	text/html	etag:%22b620e8e-1b91-4bdd2e153f400%22	http://www.4sam.org/index.html	www.4sam.org/index-2.html	(from http://www.4sam.org/)
12:06:27	5027/5027	---M--	200	added ('OK')	text/html	etag:%22b620e91-13a3-4393d087c6140%22	http://www.4sam.org/shri.html	www.4sam.org/shri.html	(from http://www.4sam.org/)
12:06:28	5833/5833	---M--	200	added ('OK')	text/html	etag:%22b620e81-16c9-43b5c2673dcc0%22	http://www.4sam.org/brahma.html	www.4sam.org/brahma.html	(from http://www.4sam.org/)
12:06:29	8177/8177	---M--	200	added ('OK')	text/html	etag:%22b620e8f-1ff1-43b587c097cc0%22	http://www.4sam.org/kumara.html	www.4sam.org/kumara.html	(from http://www.4sam.org/)
12:06:29	6364/6364	---M--	200	added ('OK')	text/html	etag:%22b620e90-18dc-43b5b7a1371c0%22	http://www.4sam.org/rudra.html	www.4sam.org/rudra.html	(from http://www.4sam.org/)
12:06:30	8514/8514	---M--	200	added ('OK')	text/html	etag:%22b620e8b-2142-43fd6fd88e100%22	http://www.4sam.org/gaudiya.html	www.4sam.org/gaudiya.html	(from http://www.4sam.org/)
12:06:31	3919/3919	---M--	200	added ('OK')	text/html	etag:%22b620e9f-f4f-471a2b3cc6480%22	http://www.4sam.org/home/editor.html	www.4sam.org/home/editor.html	(from http://www.4sam.org/)
12:06:32	42406/42406	---M--	200	added ('OK')	image/jpeg	etag:%22b620eb8-a5a6-437c4cbca67c0%22	http://www.4sam.org/images/headers/main.jpg	www.4sam.org/images/headers/main.jpg	(from http://www.4sam.org/)
12:06:36	34403/34403	---M--	200	added ('OK')	image/jpeg	etag:%22b620ea4-8663-4668ed010e540%22	http://www.4sam.org/images/banner/1bharatgovegagain.jpg	www.4sam.org/images/banner/1bharatgovegagain.jpg	(from http://www.4sam.org/)
12:06:37	34641/34641	---M--	200	added ('OK')	image/jpeg	etag:%22b620ea6-8751-4668ed010e540%22	http://www.4sam.org/images/banner/2bharatstopabortion.jpg	www.4sam.org/images/banner/2bharatstopabortion.jpg	(from http://www.4sam.org/)
12:06:38	38459/38459	---M--	200	added ('OK')	image/jpeg	etag:%22b620ea7-963b-4668ed010e540%22	http://www.4sam.org/images/banner/3bharatgreensaintlyandclean.jpg	www.4sam.org/images/banner/3bharatgreensaintlyandclean.jpg	(from http://www.4sam.org/)
12:06:38	34308/34308	---M--	200	added ('OK')	image/jpeg	etag:%22b620ea8-8604-4668ed010e540%22	http://www.4sam.org/images/banner/4bharatprotecthealthyvalues.jpg	www.4sam.org/images/banner/4bharatprotecthealthyvalues.jpg	(from http://www.4sam.org/)
12:06:39	4870/4870	---M--	200	added ('OK')	text/html	etag:%22b620ea3-1306-43fd716730d80%22	http://www.4sam.org/home/why_gaudiya.html	www.4sam.org/home/why_gaudiya.html	(from http://www.4sam.org/)
12:06:39	4017/4017	---M--	200	added ('OK')	text/html	etag:%22b620ea1-fb1-43fd71663cb40%22	http://www.4sam.org/home/shastra.html	www.4sam.org/home/shastra.html	(from http://www.4sam.org/)
12:06:40	4000/4000	---M--	200	added ('OK')	text/html	etag:%22b620ea0-fa0-43fd71663cb40%22	http://www.4sam.org/home/help.html	www.4sam.org/home/help.html	(from http://www.4sam.org/)
12:06:40	32856/32856	---M--	200	added ('OK')	image/jpeg	etag:%22b620ea9-8058-4668ed0202780%22	http://www.4sam.org/images/banner/5dharmasolvesallproblems.jpg	www.4sam.org/images/banner/5dharmasolvesallproblems.jpg	(from http://www.4sam.org/)
12:06:40	26140/26140	---M--	200	added ('OK')	image/jpeg	etag:%22b620eaa-661c-4668ed0202780%22	http://www.4sam.org/images/banner/6bharatagaisntthesuicide.jpg	www.4sam.org/images/banner/6bharatagaisntthesuicide.jpg	(from http://www.4sam.org/)
12:06:41	6849/6849	---M--	200	added ('OK')	text/html	etag:%22b620eca-1ac1-43975f4bfa5c0%22	http://www.4sam.org/shri/ramanuja.html	www.4sam.org/shri/ramanuja.html	(from http://www.4sam.org/shri.html)
12:06:41	4022/4022	---M--	200	added ('OK')	text/html	etag:%22b620ec8-fb6-439619b99c700%22	http://www.4sam.org/shri/contribution.html	www.4sam.org/shri/contribution.html	(from http://www.4sam.org/shri.html)
12:06:42	3877/3877	---M--	200	added ('OK')	text/html	etag:%22b620ec9-f25-47c9438a23080%22	http://www.4sam.org/shri/links.html	www.4sam.org/shri/links.html	(from http://www.4sam.org/shri.html)
12:06:43	38668/38668	---M--	200	added ('OK')	image/jpeg	etag:%22b620eba-970c-437d08ea8e040%22	http://www.4sam.org/images/headers/shri.jpg	www.4sam.org/images/headers/shri.jpg	(from http://www.4sam.org/shri.html)
12:06:44	14946/14946	---M--	200	added ('OK')	text/html	etag:%22b620e92-3a62-43975dc5ecd80%22	http://www.4sam.org/brahma/Madhva.html	www.4sam.org/brahma/Madhva.html	(from http://www.4sam.org/brahma.html)
12:06:44	4015/4015	---M--	200	added ('OK')	text/html	etag:%22b620e94-faf-439631f44f100%22	http://www.4sam.org/brahma/contribution.html	www.4sam.org/brahma/contribution.html	(from http://www.4sam.org/brahma.html)
12:06:44	3722/3722	---M--	200	added ('OK')	text/html	etag:%22b620e95-e8a-479d079b66e40%22	http://www.4sam.org/brahma/links.html	www.4sam.org/brahma/links.html	(from http://www.4sam.org/brahma.html)
12:06:45	39566/39566	---M--	200	added ('OK')	image/jpeg	etag:%22b620eb2-9a8e-437d08e8a5bc0%22	http://www.4sam.org/images/headers/brahma.jpg	www.4sam.org/images/headers/brahma.jpg	(from http://www.4sam.org/brahma.html)
12:06:46	7263/7263	---M--	200	added ('OK')	text/html	etag:%22b620ec3-1c5f-43b598aa463c0%22	http://www.4sam.org/kumara/nimbarka.html	www.4sam.org/kumara/nimbarka.html	(from http://www.4sam.org/kumara.html)
12:06:46	4020/4020	---M--	200	added ('OK')	text/html	etag:%22b620ec1-fb4-4398b8bb56180%22	http://www.4sam.org/kumara/contribution.html	www.4sam.org/kumara/contribution.html	(from http://www.4sam.org/kumara.html)
12:06:47	3767/3767	---M--	200	added ('OK')	text/html	etag:%22b620ec2-eb7-48f438cc2cc80%22	http://www.4sam.org/kumara/links.html	www.4sam.org/kumara/links.html	(from http://www.4sam.org/kumara.html)
12:06:47	39570/39570	---M--	200	added ('OK')	image/jpeg	etag:%22b620eb7-9a92-437d08e999e00%22	http://www.4sam.org/images/headers/kumara.jpg	www.4sam.org/images/headers/kumara.jpg	(from http://www.4sam.org/kumara.html)
12:06:48	9230/9230	---M--	200	added ('OK')	text/html	etag:%22b620ec6-240e-43b5c06be2fc0%22	http://www.4sam.org/rudra/vishnuswami.html	www.4sam.org/rudra/vishnuswami.html	(from http://www.4sam.org/rudra.html)
12:06:48	4020/4020	---M--	200	added ('OK')	text/html	etag:%22b620ec4-fb4-43b5c06be2fc0%22	http://www.4sam.org/rudra/contribution.html	www.4sam.org/rudra/contribution.html	(from http://www.4sam.org/rudra.html)
12:06:49	3193/3193	---M--	200	added ('OK')	text/html	etag:%22b620ec5-c79-43b5c06be2fc0%22	http://www.4sam.org/rudra/links.html	www.4sam.org/rudra/links.html	(from http://www.4sam.org/rudra.html)
