date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:38:07	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Feb%202014%2013:16:01%20GMT	http://www.audarya-award.org/robots.txt		(from )
10:38:07	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2022%20Feb%202014%2013:16:01%20GMT	http://www.audarya-award.org/	www.audarya-award.org/index.html	(from )
10:38:08	242/242	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Feb%202014%2013:16:02%20GMT	http://www.audarya-award.org/page	www.audarya-award.org/page	(from http://www.audarya-award.org/)
10:38:11	16101/16101	---MC-	200	added ('OK')	text/html	date:Sat,%2022%20Feb%202014%2013:16:05%20GMT	http://www.audarya-award.org/page/	www.audarya-award.org/page/index.html	(from http://www.audarya-award.org/)
10:38:12	230/230	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Feb%202014%2013:16:07%20GMT	http://www.audarya-award.org/page/media/system/js/mootools.js	www.audarya-award.org/page/media/system/js/mootools.1.delayed	(from http://www.audarya-award.org/page/)
10:38:13	229/229	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Feb%202014%2013:16:08%20GMT	http://www.audarya-award.org/page/media/system/js/caption.js	www.audarya-award.org/page/media/system/js/caption.js	(from http://www.audarya-award.org/page/)
10:38:14	791/791	---M--	200	added ('OK')	application/javascript	etag:%22101e4e3-317-478d101690380%22	http://www.audarya-award.org/page/plugins/content/1pixelout/audio-player.js	www.audarya-award.org/page/plugins/content/1pixelout/audio-player.js	(from http://www.audarya-award.org/page/)
10:38:15	590/590	---M--	200	added ('OK')	text/css	etag:%22101e4ea-24e-478d1025d2780%22	http://www.audarya-award.org/page/plugins/content/jw_allvideos/templates/Default/template_css.css	www.audarya-award.org/page/plugins/content/jw_allvideos/templates/Default/template_css.css	(from http://www.audarya-award.org/page/)
10:38:16	17901/17901	---M--	200	added ('OK')	application/javascript	etag:%22101e4f5-45ed-478d1025d2780%22	http://www.audarya-award.org/page/plugins/content/jw_allvideos/players/silverlight.js	www.audarya-award.org/page/plugins/content/jw_allvideos/players/silverlight.js	(from http://www.audarya-award.org/page/)
10:38:18	24010/24010	---M--	200	added ('OK')	application/javascript	etag:%22101e4f2-5dca-478d1025d2780%22	http://www.audarya-award.org/page/plugins/content/jw_allvideos/players/wmvplayer.js	www.audarya-award.org/page/plugins/content/jw_allvideos/players/wmvplayer.js	(from http://www.audarya-award.org/page/)
10:38:18	1385/1385	---M--	200	added ('OK')	text/css	etag:%22101c0c1-569-46ff0dd641300%22	http://www.audarya-award.org/page/templates/system/css/system.css	www.audarya-award.org/page/templates/system/css/system.css	(from http://www.audarya-award.org/page/)
10:38:18	8527/8527	---M--	200	added ('OK')	application/javascript	etag:%22101e4f4-214f-478d1025d2780%22	http://www.audarya-award.org/page/plugins/content/jw_allvideos/players/AC_QuickTime.js	www.audarya-award.org/page/plugins/content/jw_allvideos/players/AC_QuickTime.js	(from http://www.audarya-award.org/page/)
10:38:19	21191/21191	---M--	200	added ('OK')	text/css	etag:%22101c2e9-52c7-49cc91cc6e900%22	http://www.audarya-award.org/page/templates/m-flower-2/css/template.css	www.audarya-award.org/page/templates/m-flower-2/css/template.css	(from http://www.audarya-award.org/page/)
10:38:21	16108/16108	---MC-	200	added ('OK')	text/html	date:Sat,%2022%20Feb%202014%2013:16:15%20GMT	http://www.audarya-award.org/page/home	www.audarya-award.org/page/home.html	(from http://www.audarya-award.org/page/)
10:38:23	9668/9668	---MC-	200	added ('OK')	text/html	date:Sat,%2022%20Feb%202014%2013:16:17%20GMT	http://www.audarya-award.org/page/seach/%252F	www.audarya-award.org/page/seach/%2F.html	(from http://www.audarya-award.org/page/)
