date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:04:37	140/140	---MCZ	200	added ('OK')	text/plain	date:Sun,%2001%20Jul%202012%2021:07:40%20GMT	http://bvhalliance.org/robots.txt		(from )
06:04:37	31399/31399	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Apr%202014%2009:04:37%20GMT	http://bvhalliance.org/	bvhalliance.org/index.html	(from )
06:04:38	11587/11587	---MCZ	200	added ('OK')	text/css	date:Tue,%2017%20Aug%202010%2014:40:53%20GMT	http://bvhalliance.org/wp-content/themes/curved-10/style.css	bvhalliance.org/wp-content/themes/curved-10/style.css	(from http://bvhalliance.org/)
06:04:39	3190/3190	---MCZ	200	added ('OK')	text/css	date:Tue,%2010%20Aug%202010%2013:56:23%20GMT	http://bvhalliance.org/wp-content/themes/curved-10/print.css	bvhalliance.org/wp-content/themes/curved-10/print.css	(from http://bvhalliance.org/)
06:04:40	42/42	---MCZ	200	added ('OK')	text/plain	date:Tue,%2008%20Apr%202014%2009:04:40%20GMT	http://bvhalliance.org/xmlrpc.php	bvhalliance.org/xmlrpc.php	(from http://bvhalliance.org/)
06:04:41	4199/4199	---MCZ	200	added ('OK')	text/css	date:Tue,%2017%20Aug%202010%2015:21:30%20GMT	http://bvhalliance.org/wp-content/plugins/google-ajax-translation/google-ajax-translation.css?ver=20100412	bvhalliance.org/wp-content/plugins/google-ajax-translation/google-ajax-translation4001.css	(from http://bvhalliance.org/)
06:04:41	907/907	---MCZ	200	added ('OK')	text/css	date:Wed,%2011%20Aug%202010%2014:03:04%20GMT	http://bvhalliance.org/wp-content/plugins/contact-form-7/styles.css?ver=2.3.1	bvhalliance.org/wp-content/plugins/contact-form-7/styles254d.css	(from http://bvhalliance.org/)
06:04:42	663/663	---MCZ	200	added ('OK')	text/xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://bvhalliance.org/welcome/feed/	bvhalliance.org/welcome/feed/index.html	(from http://bvhalliance.org/)
06:04:43	7200/7200	---M--	200	added ('OK')	application/javascript	date:Tue,%2023%20Jul%202013%2015:28:25%20GMT	http://bvhalliance.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1	bvhalliance.org/wp-includes/js/jquery/jquery-migrate.min1576.js	(from http://bvhalliance.org/)
06:04:45	12570/12570	---M--	200	added ('OK')	application/javascript	date:Sun,%2008%20Sep%202013%2015:22:16%20GMT	http://bvhalliance.org/wp-content/plugins/new-simple-gallery/new-simple-gallery.js?ver=3.6	bvhalliance.org/wp-content/plugins/new-simple-gallery/new-simple-gallery039c.js	(from http://bvhalliance.org/)
06:04:45	13790/13790	---MCZ	200	added ('OK')	text/xml	date:Tue,%2012%20Nov%202013%2020:17:11%20GMT	http://bvhalliance.org/feed/	bvhalliance.org/feed/index.html	(from http://bvhalliance.org/)
06:04:45	10231/10231	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Apr%202012%2023:09:29%20GMT	http://bvhalliance.org/wp-includes/js/swfobject.js?ver=2.2-20120417	bvhalliance.org/wp-includes/js/swfobjecteb77.js	(from http://bvhalliance.org/)
06:04:46	728/728	---MCZ	200	added ('OK')	text/xml	date:Tue,%2008%20Apr%202014%2009:04:46%20GMT	http://bvhalliance.org/xmlrpc.php?rsd	bvhalliance.org/xmlrpc0db0.php	(from http://bvhalliance.org/)
06:04:46	93128/93128	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Jul%202013%2006:33:54%20GMT	http://bvhalliance.org/wp-includes/js/jquery/jquery.js?ver=1.10.2	bvhalliance.org/wp-includes/js/jquery/jquery3e5a.js	(from http://bvhalliance.org/)
06:04:46	1052/1052	---MCZ	200	added ('OK')	application/xml	date:Sun,%2008%20Jan%202012%2017:01:11%20GMT	http://bvhalliance.org/wp-includes/wlwmanifest.xml	bvhalliance.org/wp-includes/wlwmanifest.xml	(from http://bvhalliance.org/)
06:04:47	20480/20480	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Apr%202014%2009:04:47%20GMT	http://bvhalliance.org/guestbook/gbook.php	bvhalliance.org/guestbook/gbook.html	(from http://bvhalliance.org/)
06:04:49	20212/20212	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Apr%202014%2009:04:48%20GMT	http://bvhalliance.org/contact-2/	bvhalliance.org/contact-2/index.html	(from http://bvhalliance.org/)
06:04:49	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Apr%202014%2009:04:48%20GMT	http://bvhalliance.org/news/	bvhalliance.org/news/index.html	(from http://bvhalliance.org/)
06:04:49	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Apr%202014%2009:04:48%20GMT	http://bvhalliance.org/documents/	bvhalliance.org/documents/index.html	(from http://bvhalliance.org/)
06:04:50	28107/28107	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Apr%202014%2009:04:50%20GMT	http://bvhalliance.org/supporters/	bvhalliance.org/supporters/index.html	(from http://bvhalliance.org/)
06:04:50	1/1	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Apr%202014%2009:04:50%20GMT	http://bvhalliance.org/guestbook/	bvhalliance.org/guestbook/index.html	(from http://bvhalliance.org/)
06:04:53	19352/19352	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Apr%202014%2009:04:52%20GMT	http://bvhalliance.org/donations/	bvhalliance.org/donations/index.html	(from http://bvhalliance.org/)
06:05:03	80910/80910	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Oct%202011%2015:10:12%20GMT	http://bvhalliance.org/images/slideshow/image03.jpg	bvhalliance.org/images/slideshow/image03.jpg	(from http://bvhalliance.org/)
06:05:12	116762/116762	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Oct%202011%2015:10:12%20GMT	http://bvhalliance.org/images/slideshow/image04.jpg	bvhalliance.org/images/slideshow/image04.jpg	(from http://bvhalliance.org/)
06:05:13	203855/203855	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Oct%202011%2015:10:08%20GMT	http://bvhalliance.org/images/slideshow/image01.jpg	bvhalliance.org/images/slideshow/image01.jpg	(from http://bvhalliance.org/)
06:05:33	279108/279108	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Oct%202011%2015:10:08%20GMT	http://bvhalliance.org/images/slideshow/image02.jpg	bvhalliance.org/images/slideshow/image02.jpg	(from http://bvhalliance.org/)
06:05:33	129993/129993	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Oct%202011%2015:10:18%20GMT	http://bvhalliance.org/images/slideshow/image06.jpg	bvhalliance.org/images/slideshow/image06.jpg	(from http://bvhalliance.org/)
06:05:34	122953/122953	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Oct%202011%2015:10:24%20GMT	http://bvhalliance.org/images/slideshow/image07.jpg	bvhalliance.org/images/slideshow/image07.jpg	(from http://bvhalliance.org/)
